[FIELD] name: DESCR, type: C, displacement: 1, length: 3
[FIELD] name: TYPE, type: C, displacement: 4, length: 5
[FIELD] name: MAXLEN, type: N, displacement: 9, length: 3
[FIELD] name: FRONT, type: C, displacement: 12, length: 2
[FIELD] name: BACK, type: C, displacement: 14, length: 2
[FIELD] name: LENGTH, type: N, displacement: 16, length: 4
[FIELD] name: NUM_ZONES, type: C, displacement: 20, length: 3
[FIELD] name: RECIRC, type: C, displacement: 23, length: 3
[FIELD] name: GROUP, type: C, displacement: 26, length: 6
[FIELD] name: P_BANK, type: C, displacement: 32, length: 1
[FIELD] name: S_BANKS, type: C, displacement: 33, length: 3
[FIELD] name: FILE, type: C, displacement: 36, length: 12
[FIELD] name: X_COORD, type: N, displacement: 48, length: 4
[FIELD] name: Y_COORD, type: N, displacement: 52, length: 4
[FIELD] name: SYSNUM, type: N, displacement: 56, length: 3
[FIELD] name: SYSTASK, type: N, displacement: 59, length: 3
[FIELD] name: PROCNUM, type: N, displacement: 62, length: 3
[FIELD] name: ORIENT, type: C, displacement: 65, length: 1
[FIELD] name: CONTDEVID, type: N, displacement: 66, length: 2
[FIELD] name: INVONESTK, type: C, displacement: 68, length: 1
[FIELD] name: BUILDCAR, type: C, displacement: 69, length: 1
[FIELD] name: STEP, type: C, displacement: 70, length: 2
[FIELD] name: FPROC_TYPE, type: C, displacement: 72, length: 2
[FIELD] name: FPROC_NAME, type: C, displacement: 74, length: 6
[FIELD] name: BPROC_TYPE, type: C, displacement: 80, length: 2
[FIELD] name: BPROC_NAME, type: C, displacement: 82, length: 6
[FIELD] name: DEF_ORIENT, type: C, displacement: 88, length: 1
[FIELD] name: ZONE_SIZE, type: C, displacement: 89, length: 3
[FIELD] name: CANMKPAIRS, type: C, displacement: 92, length: 1
[FIELD] name: CANDELPAIR, type: C, displacement: 93, length: 1
[FIELD] name: NOROTATEDE, type: C, displacement: 94, length: 1
[FIELD] name: SMARTGRPAB, type: C, displacement: 95, length: 1
[FIELD] name: NEVERPAIRT, type: C, displacement: 96, length: 1
[FIELD] name: STATUSBYTE, type: C, displacement: 97, length: 10
[FIELD] name: WORK_FUNCT, type: C, displacement: 107, length: 3
[FIELD] name: ACC_FORM, type: C, displacement: 110, length: 2
[FIELD] name: THIRDIP, type: C, displacement: 112, length: 3
[FIELD] name: FOURTHIP, type: C, displacement: 115, length: 3
[FIELD] name: SLOTNUMBER, type: C, displacement: 118, length: 3
